高度_km,马赫数,静态温度_K,静态温度_C,静态压力_Pa,静态压力_kPa,静态压力_atm,密度_kg_m3,声速_m_s,飞行速度_m_s,飞行速度_km_h,总温_K,总温_C,总压_Pa,总压_kPa,总压_atm,动压_Pa,动压_kPa,动力粘度_Pa_s,运动粘度_m2_s,雷诺数_m
45.0,1.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,326.3685,1174.9265,318.06,44.91,270.94,0.2709,0.002674,100.19,0.1002,1.676e-05,0.0089069862,36641.85
45.0,1.2,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,391.6422,1409.9118,341.3844,68.2344,347.09,0.3471,0.003425,144.28,0.1443,1.676e-05,0.0089069862,43970.22
45.0,1.5,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,489.5527,1762.3898,384.3225,111.1725,525.44,0.5254,0.005186,225.43,0.2254,1.676e-05,0.0089069862,54962.78
45.0,2.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,652.737,2349.8531,477.09,203.94,1119.92,1.1199,0.011053,400.77,0.4008,1.676e-05,0.0089069862,73283.71
45.0,2.5,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,815.9212,2937.3163,596.3625,323.2125,2445.53,2.4455,0.024136,626.2,0.6262,1.676e-05,0.0089069862,91604.63
45.0,3.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,979.1054,3524.7796,742.14,468.99,5257.6,5.2576,0.051889,901.73,0.9017,1.676e-05,0.0089069862,109925.56
45.0,4.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,1305.4739,4699.7061,1113.21,840.06,21732.38,21.7324,0.214482,1603.07,1.6031,1.676e-05,0.0089069862,146567.41
45.0,5.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,1631.8424,5874.6327,1590.3,1317.15,75729.32,75.7293,0.74739,2504.8,2.5048,1.676e-05,0.0089069862,183209.27
45.0,6.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,1958.2109,7049.5592,2173.41,1900.26,225986.84,225.9868,2.230317,3606.91,3.6069,1.676e-05,0.0089069862,219851.12
45.0,8.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,2610.9479,9399.4123,3657.69,3384.54,1397370.2,1397.3702,13.790972,6412.28,6.4123,1.676e-05,0.0089069862,293134.83
45.0,10.0,265.05,-8.1,143.13,0.1431,0.001413,0.001881,326.3685,3263.6848,11749.2653,5566.05,5292.9,6074383.48,6074.3835,59.949504,10019.19,10.0192,1.676e-05,0.0089069862,366418.53
50.0,0.1,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,32.9798,118.7274,271.1913,-1.9587,76.48,0.0765,0.000755,0.53,0.0005,1.704e-05,0.017428097,1892.34
50.0,0.3,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,98.9395,356.1821,275.5217,2.3717,80.84,0.0808,0.000798,4.78,0.0048,1.704e-05,0.017428097,5677.01
50.0,0.5,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,164.8991,593.6368,284.1825,11.0325,90.08,0.0901,0.000889,13.29,0.0133,1.704e-05,0.017428097,9461.68
50.0,0.7,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,230.8588,831.0915,297.1737,24.0237,105.34,0.1053,0.00104,26.05,0.026,1.704e-05,0.017428097,13246.36
50.0,0.85,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,280.3285,1009.1826,309.7589,36.6089,121.8,0.1218,0.001202,38.41,0.0384,1.704e-05,0.017428097,16084.86
50.0,0.95,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,313.3083,1127.91,319.5023,46.3523,135.74,0.1357,0.00134,47.98,0.048,1.704e-05,0.017428097,17977.2
50.0,1.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,329.7982,1187.2736,324.78,51.63,143.75,0.1438,0.001419,53.16,0.0532,1.704e-05,0.017428097,18923.36
50.0,1.2,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,395.7579,1424.7284,348.5972,75.4472,184.16,0.1842,0.001818,76.55,0.0766,1.704e-05,0.017428097,22708.04
50.0,1.5,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,494.6973,1780.9104,392.4425,119.2925,278.79,0.2788,0.002751,119.61,0.1196,1.704e-05,0.017428097,28385.05
50.0,2.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,659.5965,2374.5473,487.17,214.02,594.21,0.5942,0.005864,212.64,0.2126,1.704e-05,0.017428097,37846.73
50.0,2.5,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,824.4956,2968.1841,608.9625,335.8125,1297.55,1.2976,0.012806,332.25,0.3322,1.704e-05,0.017428097,47308.41
50.0,3.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,989.3947,3561.8209,757.82,484.67,2789.58,2.7896,0.027531,478.44,0.4784,1.704e-05,0.017428097,56770.09
50.0,4.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,1319.1929,4749.0945,1136.73,863.58,11530.78,11.5308,0.1138,850.56,0.8506,1.704e-05,0.017428097,75693.46
50.0,5.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,1648.9912,5936.3682,1623.9,1350.75,40180.52,40.1805,0.396551,1329.0,1.329,1.704e-05,0.017428097,94616.82
50.0,6.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,1978.7894,7123.6418,2219.33,1946.18,119904.28,119.9043,1.183363,1913.76,1.9138,1.704e-05,0.017428097,113540.19
50.0,8.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,2638.3858,9498.1891,3734.97,3461.82,741417.77,741.4178,7.317224,3402.23,3.4022,1.704e-05,0.017428097,151386.92
50.0,10.0,270.65,-2.5,75.94,0.0759,0.000749,0.000978,329.7982,3297.9823,11872.7363,5683.65,5410.5,3222951.11,3222.9511,31.808054,5315.99,5.316,1.704e-05,0.017428097,189233.64
